sigla,população estimada 2024,população estimada 2025,área (1.000 Km²)
RO,1746.227,1751.95,237.5
AC,880.631,884.372,152.5
AM,4281.209,4321.616,1570.7
RR,716.793,738.772,224.2
PA,8664.306,8711.196,1247.6
AP,802.837,806.517,142.8
TO,1577.342,1586.859,277.6
MA,7010.96,7018.211,332.0
PI,3375.646,3384.547,251.5
CE,9233.656,9268.836,148.8
RN,3446.071,3455.236,52.8
PB,4145.04,4164.468,56.4
PE,9539.029,9562.007,98.3
AL,3220.104,3220.848,27.7
SE,2291.077,2299.425,21.9
BA,14850.513,14870.907,564.6
MG,21322.691,21393.441,587.5
ES,4102.129,4126.854,46.0
RJ,17219.679,17223.547,43.6
SP,45973.194,46081.801,248.2
PR,11824.665,11890.517,199.3
SC,8058.441,8187.029,95.3
RS,11229.915,11233.263,281.7
MS,2901.895,2924.631,357.1
MT,3836.399,3893.659,903.3
GO,7350.483,7423.629,340.0
DF,2982.818,2996.899,5.8
